aid	title_google	title_onlinedoc	title_deepl
118194	Man device in Dusseldorf under subway - injured lustest 	Man gets under the subway in Düsseldorf - seriously injured	Man gets under subway in Düsseldorf - life-threateningly injured
118195	Police classifies knife attack in Manchester as terrorism 	Police classify knife attack in Manchester as terrorism	Police classify knife attack in Manchester as terrorism
118196	Two seriously injured after accident on B51 at Burscheid 	Two seriously injured after an accident on the B51 near Burscheid	Two seriously injured after accident on B51 near Burscheid
118197	Bud Spencer, Karl May and a little thriller 	Bud Spencer, Karl May and a bit of a crime thriller	Bud Spencer, Karl May and a bit of crime fiction
118198	Child under injured - victims except mortal danger 	Child among injured - victim out of danger to life	Child among injured - victim out of danger of death
118199	Habel contradicts Nahles to unconditional basic income 	Habeck contradicts Nahles on unconditional basic income	Habeck contradicts Nahles on unconditional basic income
118200	"How the Abbey ""Maria Peace"" received its name "	How the “Maria Frieden” abbey got its name	"How the Abbey ""Mary Peace"" got its name"
118201	US military apologizes for cynical tweet 	US military apologizes for cynical tweet	US military apologizes for cynical tweet
118202	New Year's Estant on the racetrack 	New Year's Eve magic on the racetrack	New Year's Eve magic at the racecourse
118203	Economic Funding Susanne Dettlaff leaves Frechen Town Hall 	Economic promoter Susanne Dettlaff leaves Frechen town hall	Economic Development Officer Susanne Dettlaff Leaves Frechen City Hall
118204	Pay slightly below average - fires and burglaries 	Numbers slightly below average - fires and break-ins	Figures slightly below average - fires and burglaries
118206	Girl preserves parental home in front of fire 	Girl saves home from fire	Girl saves parents house from fire
118207	Tourist raped on toilet 	Tourist raped in the toilet	Tourist raped in toilet
118208	Attacks on emergency workers and strikes in the New Year's Night 	Attacks on forces and mediators on New Year's Eve	Attacks on emergency forces and dispute mediators on New Year's night
118209	Quettinger threatens neighbors with shot throttle 	Quettinger threatens neighbors with a blank gun	Quettinger threatens neighbors with alarm pistol
118211	Kobayashi wins again in front of railway 	Kobayashi wins again just ahead of Eisenbichler	Kobayashi wins again just ahead of Eisenbichler
118212	"So the federal states put the ""good-kita law"" "	This is how the federal states implement the “Good Day Care Act”	"How the federal states are implementing the ""Good Childcare Act"
118213	"""Car toll starts in October 2020"" "	"""Car toll starts in October 2020"""	"""Passenger car toll to start in October 2020""."
118215	"How the new party ""Volt"" wants to start in 2019 "	"How the new party ""Volt"" wants to get started in 2019"	"How the new party ""Volt"" wants to take off in 2019"
118216	These musicians want to fill the Lanxess Arena in 2019 	These musicians want to fill the Lanxess Arena in 2019	These musicians want to fill the Lanxess Arena in 2019
118217	Dimitra came shortly after midnight 	Dimitra came shortly after midnight	Dimitra came shortly after midnight
118218	On number safely into the new year 	Play it safe into the new year	Playing it safe into the new year
118221	More dead - baby survives night in icy cold 	More dead - baby survived night in freezing cold	More deaths - baby survives night in freezing cold
118222	Entertaining western parody with weak resolution 	Entertaining western parody with poor resolution	Entertaining western parody with weak resolution
118223	Verdi announces warning strikes for money transports 	Verdi announces warning strikes for money transports	Verdi announces warning strikes for cash-in-transit companies
118224	Seehofer calls for attacks in Amberg sharper laws 	Seehofer calls for stricter laws after attacks in Amberg	Seehofer calls for tougher laws after attacks in Amberg
118226	Van Gerwen sits down the Darts crown 	Van Gerwen puts on the darts crown	Van Gerwen puts the darts crown on his head
118228	Stick the Burscheider New Year's Eve party successful 	The start of the Burscheider New Year's Eve celebration was a success	Start of the Burscheid New Year's Eve celebration successful
118229	Two seriously injured after accident on B51 	Two seriously injured after an accident on the B51	Two seriously injured after accident on B51
118230	Last highlight of the year 	Last highlight of the year	Last highlight of the year
118231	Legacy of the night 	Aftermath of the night	Legacies of the night
118234	The new normality in the Cologne Silvestern Each 	The new normal on New Year's Eve in Cologne	The New Normality of the Cologne New Year's Eve
118235	Ferryman Weibarth over low water and floods from the Rhine 	Ferryman Weibarth about low water and floods from the Rhine	Ferryman Weibarth about low water and flooding from the Rhine
118236	"Traditional shop ""The Greek"" closes in Opladen "	"The traditional shop ""Der Grieche"" closes in Opladen"	"Traditional store ""Der Grieche"" closes in Opladen"
118237	7 fall while eating - and how to avoid it 	7 food traps - and how to avoid them	7 pitfalls when eating - and how to avoid them
118238	Troidorfer Icedome audience magnet to New Year 	Troidorfer Icedome crowd puller on New Years	Troidorf Icedome crowd puller on New Year's Day
118239	Plans for Waldfriedhof Wecken in Overath Fruntrunzeln 	Overath frowns at plans for forest cemetery	Plans for forest cemetery raise eyebrows in Overath
118240	Major area deletes fire in warehouse in Cologne-Müngersdorf 	Large contingent put out fire in warehouse in Cologne-Müngersdorf	Large contingent extinguishes fire in warehouse in Cologne-Müngersdorf
118241	People who live here 	People who live here	People who live here
118242	"Trump wants to make ""Deal"" with Democrats "	"Trump wants to make a ""deal"" with Democrats"	Trump wants to make 'deal' with Democrats
118243	Child in Zoo in the USA attacks rhino 	Child attacked by rhinoceros in zoo in USA	Child attacked by rhino at zoo in the USA
118244	Euro states want to produce coins in the billions 	Euro countries want to produce coins worth billions	Euro states want to produce coins worth billions of euros
118245	Michael Schumacher's family has embassy to the fans 	Michael Schumacher's family has a message to the fans	Michael Schumacher's family has message to fans
118247	"Bolsonaro wants ""liberation from the politically correct"" applause of Trump "	Bolsonaro wants “liberation from the politically correct” - applause from Trump	"Bolsonaro wants ""liberation from the politically correct"" - applause from Trump"
118248	Many missions in the New Year's Day for Bonn police 	Many missions on New Year's Eve for Bonn police	Many operations for Bonn police on New Year's Eve
118249	Rhein-Berg has welcomed the new year 	Rhein-Berg welcomed the new year so differently	Rhein-Berg welcomed the new year in such different ways
118250	Pricing for people who live here 	Standing up for people who live here	Standing up for people who live here
118251	This does the district association nature conservation for the pit Rolf 	This is what the district association for nature conservation does for the Rolf mine	This is what the district nature conservation association does for the Rolf pit
118252	"A game of ""childhood"" with Gerd Overlack and Jim Boeven "	"""A game of"" childhood """" with Gerd Overlack and Jim Boeven """	"""A Game of ""Childhood"""" with Gerd Overlack and Jim Boeven"""
118253	Number of injured in bottrop and food increases 	The number of injuries in Bottrop and Essen increases	Number of injured in Bottrop and Essen increases
118254	These processes make talked in 2019 	These processes will be the talk of the town in 2019	These processes will be the talk of 2019
118255	"US police ""Mrys"" about very special truck charge "	"US police ""mourn"" the very special truck load"	"US police ""mourn"" very special truck load"
118256	County sewing bags with refugees - exhibition in the town hall 	Kürtener sew bags with refugees - exhibition in the town hall	Kürtener sew bags with refugees - exhibition in the town hall
118257	On the heels of our author walking through Siegburg 	On foot through Siegburg on the heels of our author	On the heels of our author on foot through Siegburg
118258	Aid offers for women who are in need - high dark figures 	Offers of help for women in need - high number of unreported cases	Offers of help for women in need - high number of unreported cases
118259	"""I thought that I do not overturn"" "	"""I thought I couldn't get over it"""	"""I didn't think I'd get through this""."
118260	"Frechener: ""I still feel the pressure today"" "	"""Frechenerin:"" I can still feel the pressure today """" """	"""Frechenerin: ""I still feel the pressure today"""""""
118261	This happens at a gas station at the time of the year 	That happens at a gas station at the turn of the year	This is what happens at the turn of the year at a gas station
118262	SV Frielingsdorf can now use his rooms again 	SV Frielingsdorf can use its rooms again with immediate effect	SV Frielingsdorf can use its rooms again as of now
118263	Two cars and a carport stood in flames 	Two cars and a carport were on fire	Two cars and a carport were on fire
118264	Storm low employs emergency services in the north 	Storm low employs emergency services in the north	Stormy depression keeps emergency services in the north busy
118265	Gay club thanks Madonna and son David 	Gay club thanks Madonna and son David	Gay club thanks Madonna and son David
118267	This is how an emergency service is in the Silvestern night 	This is how an emergency service runs on New Year's Eve	How an emergency service works on New Year's Eve
118268	Dozensende inserts after midnight in Oberberg 	Dozens of missions after midnight in Oberberg	Dozens of operations after midnight in Oberberg
118269	In the future, passengers should always know where their suitcase is straight 	In the future, passengers should always know where their suitcase is	In the future, passengers should always know where their suitcase is at the moment
118270	Six dead in Denmark - Freight train of Deutsche Bahn involved 	Six dead in Denmark - Deutsche Bahn freight train involved	Six dead in Denmark - Deutsche Bahn freight train involved
118271	"Just do not wash laundry during the ""twelve nights"" "	"Just don't wash your clothes during the ""twelve nights"""	"Just don't do any laundry during the ""twelve nights"
118272	"For the last time, the ""house of stories"" opens its doors "	The “House of Stories” opens its doors for the last time	"For the last time the ""House of Stories"" opens its doors"
118273	"The fieldlike is the ""Bird of the Year 2019"" "	"The skylark is the ""Bird of the Year 2019"""	"The skylark is the ""Bird of the Year 2019"
118274	These 6 start-ups could start in 2019 	These 6 start-ups could take off in 2019	These 6 startups could take off in 2019
118275	Merkel does not come after demin 	Merkel is not coming to Demmin	Merkel does not come to Demmin
118276	Car driver lawn with 150 kilometers per hour by Refrath 	Drivers race through Refrath at 150 kilometers per hour	Drivers speed through Refrath at 150 kilometers per hour
118277	Nied party ship could soon be recovered 	Sunken party ship could soon be salvaged	Sunken party ship could be recovered soon
118278	These parents from Rhine-Erft had an unforgettable New Year 	These parents from Rhein-Erft had an unforgettable New Year	These parents from Rhein-Erft had an unforgettable turn of the year
118279	Attackers shoot Mayor hours after taking office 	Attackers shoot mayor hours after taking office	Attackers shoot mayor hours after taking office
118280	What will be important in Cologne in 2019 	What will be important in Cologne in 2019	What will be important in Cologne in 2019
118281	Five cars burn out in Kerpen - Witnesses hear bang 	Five cars burn out in Kerpen - witnesses hear a bang	Five cars burn out in Kerpen - witnesses hear bang
118282	How children develop their own personality 	How children develop their own personality	How children develop their own personality
118283	Why selfies can be expensive in front of works of art 	Why selfies in front of works of art can get expensive	Why selfies in front of works of art can be expensive
118284	Number of workers on record since reunification 	Number of people in employment at a record since reunification	Number of people in employment at record level since reunification
118286	Father beats showmen to Grusel appearance 	Father beats up showman after a horror performance	Father beats up showman after scary performance
118288	Uwe Koschinat cares about Fortuna Cologne 	Uwe Koschinat worries about Fortuna Cologne	Uwe Koschinat worries about Fortuna Cologne
118289	Cologne cultural highlights for the year 2019 	The Cologne cultural highlights for 2019	The Cologne cultural highlights for 2019
118290	SPD in Brandenburg only equal to the AFD 	The SPD in Brandenburg is only on par with the AfD	SPD in Brandenburg now only on a par with the AfD
118291	KEC hopes for player license for Ticar 	KEC is hoping for Ticar's license to play	KEC hopes for permission to play for Ticar
118292	"Markus Eisenbichler wants to ""take a distance from the hustle and bustle"" "	"Markus Eisenbichler wants to ""get away from the hustle and bustle"""	"Markus Eisenbichler wants to ""take distance from the hustle and bustle""."
118293	Why measures with two-level attacks 	Why double standards are used for attacks	Why double standards are applied to attacks
118294	Werner Schuster is the father of success 	Werner Schuster is the father of success	Werner Schuster is the father of success
118302	The cheeky George is the number one 	Naughty George is number one	Naughty George is the number one
118303	Only the rested chicken is beautiful 	Only the rested chicken is beautiful	Only the rested chicken is beautiful
118304	The Kerpen Capitol celebrates its 70th anniversary in 2019 	The Kerpen Capitol celebrates its 70th anniversary in 2019	The Kerpen Capitol celebrates its 70th anniversary in 2019
118305	"Gladbach pays more than 30,000 euros for study on ""Cargocap"" system "	Gladbach pays more than 30,000 euros for a study on the “Cargocap” system	"Gladbach pays more than 30,000 euros for study on ""Cargocap"" system"
118306	Euskirchen needs more than 2900 apartments up to 2040 	Euskirchen needs more than 2,900 more apartments by 2040	Euskirchen needs more than 2900 more apartments by 2040
118307	Burkhard Thom publishes third dog athology 	Burkhard Thom publishes third canine anthology	Burkhard Thom publishes third dog anthology
118308	Albania longing for Europe 	Albania's longing for Europe	Albania's yearning for Europe
118309	Urns on the North Sea coast purified - shipping company confesses a breakdown 	Urns washed up on the North Sea coast - shipping company admits breakdown	Urns washed up on North Sea coast - shipping company admits mishap
118310	Unknown steal three cars of Deutsche Post 	Strangers steal three Deutsche Post cars	Unknown steal three cars from the German Post Office
118312	French have little trust in Macron reforms 	The French have little faith in Macron's reforms	French have little confidence in Macron's reforms
118314	Church window of St. Remigius destroyed by Böller 	Church window of St. Remigius destroyed by firecrackers	Church window of St. Remigius destroyed by firecrackers
118315	The new power of Democrats 	The new power of the Democrats	The New Power of the Democrats
118316	126,000 letters answered the Christkind in Engelskirchen 	The Christ Child in Engelskirchen answers 126,000 letters	126,000 letters answered by the Christ Child in Engelskirchen
118317	Bomb threat against cinema by provocan free action 	Bomb threat against cinema after provocative free campaign	Bomb threat against cinema after provocative free action
118318	Ghost train introduces better cycling 	The ghost train focuses on better bike traffic	Ghost train puts better cycling in the spotlight
118320	Randalator again demolish lightning at the outside 	Rioters demolish speed cameras again on the Auenweg	Hooligans demolish speed camera on the Auenweg once again
118321	Gerhard FingerHuth is retired after 44 years 	Gerhard Fingerhuth is retiring after 44 years	Gerhard Fingerhuth retires after 44 years
118323	Ryoyu Kobayashi in the intoxication of speed 	Ryoyu Kobayashi in a frenzy of speed	Ryoyu Kobayashi in a frenzy of speed
118324	Children should burn cat paws with fireworks 	Children are said to have burned cat paws with fireworks	Children allegedly burned cat paws with firecrackers
118325	"Freighter ""Zoe"" loses 270 containers - furniture and slippers on the beach "	Freighter “Zoe” loses 270 containers - furniture and slippers on the beach	"Freighter ""Zoe"" loses 270 containers - furniture and slippers on the beach"
118326	Arbor burned to school in Schlebusch 	The arbor was on fire at the school in Schlebusch	Arbor burned at school in Schlebusch
118327	Hundreds of action combines the crime after death of triple mother 	Hundreds of people combed the crime area after the death of a mother of three	Hundreds comb crime scene after death of mother of three
118328	Municipalities complain about Müllberge by New Year's EveBöller 	Municipalities complain about piles of rubbish from New Year's Eve bollards	Municipalities complain about mountains of waste caused by New Year's Eve firecrackers
118329	Why two local editors in January insert a fasting month 	Why two local editors take a month of fasting in January	Why two local editors are taking a month of fasting in January
118330	"Annual budget of the Nümbrecht ""home sounds"" appears "	The annual edition of the Nümbrecht “Heimat-Klänge” is published	"Annual booklet of the Nümbrechter ""homeland sounds"" appears"
118331	"Practical help for the broken system ""Family"" "	"Practical help for the broken system ""family"""	"Practical help for the broken system ""family"
118332	This family gives children from difficult conditions a home 	This family gives a home to children from difficult backgrounds	This family gives a home to children from difficult backgrounds
118333	16 companies with interest in Klause V 	16 companies interested in Klause V	16 companies with interest in Klause V
118334	City Cottbus provides with statement about knife attack for criticism 	City of Cottbus causes criticism with an explanation of the knife attack	City of Cottbus causes criticism with statement on knife attack
118335	Open-air museum invites you to a symposium 	Open-air museum invites you to a symposium	Open air museum invites to a symposium
118336	Euskirchen police council becomes boss of the highway police 	Euskirchen's chief police officer becomes head of the motorway police	Euskirchen's senior police officer becomes chief of the highway patrol
118337	The high safety precautions are considered success 	The high security precautions are considered a success	The high security measures are considered a success
118339	16-year-old thieves flee to Cologne police 	16-year-old thieves flee from Cologne police	16-year-old thieves flee from Cologne police
118340	Several bets on New Year's Eve - 2018 was record year 	Several missions on New Year's Eve - 2018 was a record year	Several operations on New Year's Eve - 2018 was a record year
118341	Bottrop stop triggers difficult conceptual debate 	Bottrop attack triggers a difficult debate on terms	Bottrop attack triggers difficult debate over terms
118342	New Climate Ticket is so far a shopkeeper 	So far, the new climate ticket has been a slow seller	New climate ticket is a slow seller so far
118343	Wilfried Schumacher is to receive pastoral task 	Wilfried Schumacher is to be given a pastoral role	Wilfried Schumacher to receive pastoral assignment
118344	"Prevention campaign ""Colorful instead of blue"" starts "	Prevention campaign “Colorful instead of blue” starts	"Prevention campaign ""Colorful instead of blue"" launches"
118345	Deportation of the suspects not possible 	Deportation of suspects is not possible	Deportation of the suspects not possible
118346	Oldest deacon died in Archdiocese of Cologne at 105 years 	The oldest deacon in the Archdiocese of Cologne died at the age of 105	Oldest deacon in the archdiocese of Cologne died at 105 years of age
118347	"Assassin weathered in interrogation about ""Kanakaks"" and ""black feet"" "	"Assassin railed during interrogation about ""Kanaken"" and ""Schwarzfüße"""	"Assassin railed against ""Kanaks"" and ""black feet"" during interrogation"
118349	German refugee aid ships are allowed to arrive in the harbor 	German refugee aid ships are allowed to enter the port	German refugee aid ships allowed to enter port
118350	Kölner Haie converted Ingolstadt Furios 	Cologne sharks defeat Ingolstadt furiously	Cologne Sharks furiously defeat Ingolstadt
118351	Right-wing extremist patrolling in Amberg 	Right-wing extremists patrol Amberg	Right-wing extremists patrolling in Amberg
118359	Tuition for the forest 	Tutoring for the forest	Forest tutoring
118360	Police are looking for fire to school arsonist 	Police look for fire at school arsonists	Police seek arsonist after fire at school
118361	"Cologne can no longer rent apartment - because of missing ""special"" "	"Kölner is no longer allowed to rent an apartment - due to lack of ""tanning"""	"Cologne may no longer rent apartment - due to lack of ""sunlight"
118362	New Hauptwache in Wiesdorf is prior to completing 	The new main station in Wiesdorf is about to be completed	New main station in Wiesdorf nears completion
118363	Church visit service set in Eifel hospitals 	Church visiting service in Eifel hospitals discontinued	Church visiting service in Eifel hospitals discontinued
118364	Rhein-Erft-Transport Company from now on traveling 	Rhein-Erft-Verkehrsgesellschaft is now traveling with its own buses	Rhein-Erft-Verkehrsgesellschaft now on the road with its own buses
118365	Babysitter tell, which oblique rules they had to follow 	Babysitters tell which weird rules they had to follow	Babysitters tell what weird rules they had to follow
118366	Lutz Urbach gives outlook - these topics will be important in 2019 	Lutz Urbach gives an outlook - these topics will be important in 2019	Lutz Urbach gives an outlook - these topics will be important in 2019
118367	Zanders, Schloßstraße, F-Plan - Where is Bergisch Gladbach in early 2019? 	Zanders, Schloßstraße, F-Plan - where is Bergisch Gladbach at the beginning of 2019?	Zanders, Schloßstraße, F-Plan - where will Bergisch Gladbach be at the beginning of 2019?
118369	"China succeeds landing on ""Dark Side of the Moon"" "	"China succeeds in landing on the ""dark side of the moon"""	"China succeeds in landing on ""dark side of the moon"
118370	No result at meeting the Democrats with Trump 	No result when the Democrats meet Trump	No result in Democrats' meeting with Trump
118371	From Young Rhineland About Edvard Munch to Michael Jackson 	From the Junge Rheinland to Edvard Munch to Michael Jackson	From the Young Rhineland to Edvard Munch and Michael Jackson
118372	Roads NRW spent in 2018 records for highways 	Straßen NRW spent a record amount on motorways in 2018	Straßen NRW spent a record amount on highways in 2018
118373	"Giant barrier ""Ocean Cleanup"" with big problems "	"Giant garbage collector ""Ocean Cleanup"" with big problems"	"Giant garbage catcher ""Ocean Cleanup"" with big problems"
118374	Reichshof is justified confident in the 50th year 	Reichshof is confident about the 50th year	Reichshof enters the 50th year with justified confidence
118375	Fire brigade saves hundreds of animals before the German 	Fire brigade saves hundreds of animals from dying of thirst	Firefighters save hundreds of animals from dying of thirst
118376	As the century winter in the Rhine-Sieg-Kreis 	When the winter of the century invaded the Rhein-Sieg district	When the winter of the century hit the Rhein-Sieg district
118377	TV Herkenrath stands according to Regionalliga climb before bitter 	TV Herkenrath faces bitter end after promotion to the regional league	TV Herkenrath faces bitter end after regional league promotion
118378	At Stefan Hebbel, cooking must be fun 	At Stefan Hebbel, cooking has to be fun	With Stefan Hebbel, cooking has to be fun
118379	These winelocal lures in the Rhine-Erft-Kreis 	These wine bars lure you into the Rhein-Erft district	These wine bars attract in the Rhine-Erft district
118380	Eifeler breeding bull Devito brings 1300 kilos on the scales 	Eifel breeding bull Devito weighs 1300 kilos	Eifel breeding bull Devito weighs in at 1300 kilos
118381	Last porter City Director died at 91 years 	The last city director of Porz died at the age of 91	Last Porz city director died at the age of 91
118382	Cancel of the monument of 1870 is imminent 	Demolition of the monument from 1870 is imminent	Demolition of the monument from 1870 is imminent
118383	Donald Trump stalks again against Germany 	Donald Trump is back against Germany	Donald Trump again lashes out at Germany
118384	"""The Sea-Watch 3 needs support"" "	"""The Sea-Watch 3 needs support"""	"""The Sea-Watch 3 needs support"""
118386	The great cleaning after the New Year's Eve party in Cologne 	The big cleaning up after the New Year's Eve party in Cologne	The big clean-up after the New Year's Eve celebrations in Cologne
118387	Ilona Schmitz from Sötenich has a TV cook 	Ilona Schmitz from Sötenich is slimming down with a TV cook	Ilona Schmitz from Sötenich slims down with TV chef
118388	"Netflix warns in front of ""Bird Box"" challenge "	"Netflix warns of the ""Bird Box"" challenge"	"Netflix warns of ""Bird Box"" challenge"
118389	Nine months imprisonment for cheese thief from Venloer 	Nine months imprisonment for cheese thief from Venloer	Nine months imprisonment for cheese thief from the Venloer
118390	Schwalbe-Arena becomes an ice palace on Saturday 	Schwalbe-Arena turns into an ice palace on Saturday	Schwalbe Arena becomes an ice palace on Saturday
118391	Windecker Studenti gives tips on the condition 	A student from Windeck gives tips on storing fruit	Windeck student gives tips on fruit storage
118392	Moitzfelder collects New Year's Collar from road - removal lies 	Moitzfelder collects New Year's rubbish from the street - Abfuhr leaves it	Moitzfelder collects New Year's Eve garbage from the street - waste collection leaves it lying around
118393	"""If we leave points, then it was that"" "	"""If we leave points, that's it"""	"""If we drop points, that's it""."
118394	Job problems with star singers - donations for disabled children 	Problems with the offspring of carol singers - donations for disabled children	Problems with the new generation of carol singers - donations for handicapped children
118395	Display on solar bike path still does not work 	The display on the solar cycle path is still not working	Display at the solar bike path still does not work
118396	Number of victims after train accident in Denmark is rising 	Number of victims after train accident in Denmark is increasing	Number of victims rises after train accident in Denmark
118397	Exhibitionist urinates in the Federal Police Department 	Exhibitionist urinates in the federal police station	Exhibitionist urinates in federal police office
118398	Great majority of Germans for Böllerverbote 	Large majority of Germans for firecrackers bans	Large majority of Germans in favor of firecracker bans
118399	Kim Jong us diplomat is releasing 	Kim Jong Uns diplomat resigns	Kim Jong Un's Diplomat Deposes
118400	Investigators pursue new approach at murder of eleven-year-old Claudia 	Investigators take a new approach to the murder of eleven-year-old Claudia	Investigators take new approach to murder of 11-year-old Claudia
118401	Man drives in pedestrian group and kills his own child 	Man drives in pedestrian group and kills his own child	Man drives into group of pedestrians and kills own child
118402	Cologne police are looking for Betting Office Die 	Cologne police are looking for betting shop thieves	Cologne police search for betting shop thieves
118404	Missing Rösrather recently located in Cologne 	Missing Rösrather last located in Cologne	Missing person from Rösrath last located in Cologne
118405	In summer, tourists can visit the Wreck of Titanic 	In summer, tourists can visit the wreck of the Titanic	In summer tourists can visit the wreck of the Titanic
118406	42-year-old in Hürth of three men attacked 	42-year-old woman attacked by three men in Hürth	42-year-old woman assaulted by three men in Hürth
118407	Kachelmann comeback with lamp fever 	Tile man comeback with stage fright	Kachelmann comeback with stage fright
118408	Ryanair does not fly 19-year-old in a wheelchair 	Ryanair does not allow 19-year-olds to fly in wheelchairs	Ryanair does not let 19-year-old in wheelchair fly with them
118410	Dog seriously injured in accident with driver escape 	Dog seriously injured in an accident with hit-and-run	Dog seriously injured in hit and run accident
118411	Drunker bites to police officers, does not want to leave Guard 	Drunk man bites at police officers, does not want to leave the station	Drunk bites at police officer, won't leave police station
118412	Euronics branch in Brühl closes at the end of January 	Euronics' branch in Brühl closes at the end of January	Euronics store in Brühl closes at the end of January
118413	For motorists, no more will be on the Bonner Straße 	Motorists will no longer be able to get through on Bonner Strasse	There will be no way through for motorists on Bonner Straße
118414	Dispute over Cologne Grüngürt continues 	The dispute over Cologne's green belt continues	Dispute over Cologne green belt continues
118415	Christmas and New Year remote home 	Christmas and New Year away from home	Christmas and New Year far from home
118416	"Thailand vacationers flee in front of ""Pabuk"" "	"Thailand vacationers flee from ""Pabuk"""	"Thailand vacationers flee from ""Pabuk"
118417	100 scorer points are no more utopia 	100 scorer points are no longer a utopia	100 scorer points are no longer a utopia
118418	More space for nature and environmental education 	More space for nature and environmental education	More space for nature and environmental education
118419	President Bolsonaro triggers exchanges - environmentalists to worry 	President Bolsonaro triggers stock market upswing - environmentalists worried	President Bolsonaro triggers stock market boom - environmentalists worried
118420	Euskirchener actress trains with prospective doctors 	Euskirchen actress trains with budding doctors	Euskirchen actress trains with future doctors
118421	"New not in ""Kicker"" ranking - Toni Schumacher: ""courageous, but correct"" "	"New not in the ""Kicker"" ranking - Toni Schumacher: ""Courageous, but correct"""	"Neuer not in ""Kicker"" rankings - Toni Schumacher: ""Courageous, but correct""."
118422	Amberg defends itself against allegations 	Amberg defends himself against allegations	Amberg defends itself against accusations
118423	"""Bypass road has the highest priority"" "	"""The bypass road has the highest priority"""	"""Bypass road has top priority""."
118425	Woman delivers chase with police and crash into patrol cars 	Woman is chasing the police and crashes into a patrol car	Woman gives chase with police and crashes into patrol car
118426	Numerous congratulations for Michael Schumacher to the 50th 	Many congratulations for Michael Schumacher on his 50th birthday.	Numerous congratulations for Michael Schumacher on his 50th birthday.
118427	Czech supermarkets have to deliver food to the common good 	Czech supermarkets have to sell food for the common good	Czech supermarkets must give food for the common good
118428	Hannover 96 with delay in the training camp 	Hannover 96 delayed to the training camp	Hannover 96 delayed into training camp
118429	Just do nothing 	Just do nothing	Simply do nothing
118430	Volunteers and army clear up dutch coast 	Volunteers and the army are cleaning up the Dutch coast	Volunteers and army clear Dutch coastline
118431	Shark Captain Moritz Müller before comeback 	Haie captain Moritz Müller is about to make a comeback	Sharks captain Moritz Müller before comeback
118432	View of the most important developments in Chorweiler 	Outlook on the most important developments in Chorweiler	Outlook for the most important developments in Chorweiler
118434	Emergency doctor tweetes about increasing violence in rescue operations 	Emergency doctor tweeted about increasing violence during rescue operations	Emergency physician tweets about increasing violence during rescue missions
