article	aid	url	imageUrl	iid	hashvalueImage	title	text	nReads	nRecs	nClicks	ctr
513017040	123540	https://www.ksta.de/region/rhein-erft/elsdorf/elsdorf-kiesabbau-rueckt-naeher-an-die-doerfer---stadt-ist-wohl-machtlos-31967200	https://www.ksta.de/image/31967198/2x1/300/150/51f06a7e2038c9d8d5f7391307403fac/pm/71-143382174--null--31-01-2019-14-56-14-127-.jpg	124178	fffff7e3e0f1830f	Kiesabbau rückt näher an die Dörfer – Stadt ist wohl machtlos	In der Gemar­kung Fuch­serde/Am Heide­steg sollen weitere Parzellen Acker­land ausge­kiest werden. Der Antrag­steller hat dazu bei der zustän­digen Kreis­ver­wal­tung die Geneh­mi­gung bean­tragt. Die Stadt hat ihr vom Kreis gefor­dertes Einver­nehmen zur	3478	29	0	0.0
513017041	123541	https://www.ksta.de/region/euskirchen-eifel/kostenexplosion-bei-kreishausanbau-politiker-in-euskirchen-machen-ihrem-unmut-luft-31967450	https://www.ksta.de/image/31967444/2x1/300/150/87c4d42efee19e294bc5d72c4354de90/dB/kreishaus-im-winter-310119.jpg	124179	dfff9f08000000f4	Poli­tiker in Euskir­chen machen ihrem Unmut Luft	Die Tätig­keit eines Kommu­nal­po­li­ti­kers sollte man sich nicht als reines Vergnügen vorstellen. Vor allem, wenn man vor neun Monaten eine Kreis­haus-Er­wei­te­rung beschlossen hat, deren Kosten damals auf 33,3 Millionen Euro geschätzt wurden, nun aber	1569	109	0	0.0
513017043	123542	https://www.ksta.de/ratgeber/finanzen/karriere/bis-zu-70-000-euro-im-jahr-acht-trendberufe--die-eine-sichere-zukunft-haben-31965626	https://www.ksta.de/image/31966730/2x1/300/150/f9590afc4cfb57ed112a5d4e63466527/Zv/frau-mit-geldscheinen.jpg	124180	c79387e7c7c7e7c7	8 Trend­be­rufe, die eine sichere Zukunft haben	Jeder zweite Deut­sche wünscht sich in diesem Jahr ein höheres Gehalt. Das ergab die reprä­sen­ta­tive Umfrage „Kar­rie­re­ziele 2019”. Im Auftrag des Perso­nal­dienst­leis­ters Manpo­wer­group wurden dafür 1004 Bundes­bürger befragt. Doch in welchen Jobs	6343	40	0	0.0
513017046	123543	https://www.ksta.de/region/rhein-berg-oberberg/bergisch-gladbach/mit-stichschutzwesten-bergisch-gladbacher-ordnungsamt-kuenftig-bis-22-uhr-unterwegs-31967608	https://www.ksta.de/image/31967640/2x1/300/150/dc7308ccf1adc6c2b800dacd65750c90/Ik/ordnungsamt-bgl-1.jpg	124181	009890db7defa707	Bergisch Glad­ba­cher Ordnungsamt künftig bis 22 Uhr unter­wegs	Ab nächsten Dienstag sind die dunkelblau bedressten „Stadtshe­riffs“ bis 22 Uhr abends in der City unter­wegs; also auch zu Zeiten, wenn sich die Fußgän­ger­zone nach Geschäfts­schluss 19 bezie­hungs­weise 20 Uhr zügig leert.„Bei Bedarf sind die Einsätze 	3303	86	0	0.0
513017146	123544	https://www.ksta.de/region/rhein-sieg-bonn/sozialgaben-unterschlagen-unternehmer-aus-niederkassel-muss-lange-ins-gefaengnis-31968710	https://www.ksta.de/image/31968790/2x1/300/150/d61cb9552190869eb127912b36ad9545/qz/das-gericht-verurteilte-den-mann-zu-vier-jahren-haft--1-.jpg	124182	fbf2c6c383c0c0c0	Unter­nehmer aus Nieder­kassel muss lange ins Gefängnis	Fast sieben Monate und 27 Verhand­lungs­tage hat der Prozess gegen einen 56-jäh­rigen Bauun­ter­nehmer aus Nieder­kassel gedauert. Gestern hat die 9. Große Straf­kammer des Bonner Land­ge­richts das Urteil gegen den Geschäfts­mann gespro­chen. Wegen Voren	2831	65	0	0.0
513017148	123545	https://www.ksta.de/region/leverkusen/stadt-leverkusen/arbeitsmarkttief-im-winter-542-leverkusener-meldeten-sich-im-januar-arbeitslos-31967652	https://www.ksta.de/image/31967720/2x1/300/150/f954375f306d8c120753e7d41756d890/Gg/arbeitsmarkt-60166409.jpg	124183	36e6aaaaeafce2e4	542 Lever­ku­sener meldeten sich im Januar arbeitslos	Auf dem Arbeits­markt macht sich der Winter bemerkbar – aber nicht so stark wie sonst. Die Arbeit­s­agentur meldete am Donnerstag zwar einen Anstieg der Zahlen in Lever­kusen. Aber mit einem Plus von 179 auf 6327 Personen liegt die Arbeits­lo­sen­zahl imm	299	46	0	0.0
513017595	123546	https://www.ksta.de/politik/fdp-vize-kubicki--wir-sollten-cooler-mit-der-afd-umgehen-und-sie-entzaubern--31968742	https://www.ksta.de/image/31968792/2x1/300/150/d095b093c166174a15db770405cee573/Tu/kubicki-groenert.jpg	124184	bfbfbfb9b9b90000	„Wir sollten cooler mit der AfD umgehen und sie entzau­bern“	Herr Kubicki, was passiert, wenn bei der Euro­pa­wahl die Euro­pa­gegner die Mehr­heit erringen?Ich befürchte das nicht. Die Libe­ralen haben bei der Euro­pa­wahl die große Chance, zweit­stärkste Kraft im EU-Par­la­ment zu werden. Auch die FDP wird ihren 	896	65	0	0.0
513017812	123547	https://www.ksta.de/panorama/experten-sind-besorgt-forscher-entdecken-riesigen-hohlraum-unter-antarktis-gletscher-31970076	https://www.ksta.de/image/31970078/2x1/300/150/73565cad1e5d9be2871e433d428993c5/yH/gletscher-antarktis.jpg	124185	08381e1e1e1c0c3c	Forscher entde­cken riesigen Hohl­raum unter Antark­tis-Glet­scher	In Rekord­ge­schwin­dig­keit wächst unter einem Glet­scher in der Antarktis ein riesiger Hohl­raum. Er sei zehn Kilo­meter lang und vier Kilo­meter breit und damit so groß wie zwei Drittel der Fläche von Manhattan, schreiben Forscher des Jet Propul­sion L	12779	304	0	0.0
513018490	123548	https://www.ksta.de/nrw/schulministerin-stellt-auswahl-der--talentschulen--vor-31969766	https://www.ksta.de/image/31969764/2x1/300/150/2811459d78628d939dff6c092e974763/gH/urn-newsml-dpa-com-20090101-190131-99-804433-large-4-3.jpg	124186	1f1f0f6f61010d0f	Schul­mi­nis­terin stellt Auswahl der „Tal­ent­schulen” vor	An 60 soge­nannten Talent­schulen in Nord­rhein-West­falen sollen Kinder künftig beson­ders geför­dert werden - vor allem an sozialen Brenn­punkten. Heute verrät Schul­mi­nis­terin Yvonne Gebauer (FDP) die ersten Stand­orte. Eine Fach­jury hat aus fast 15	19	29	0	0.0
513018812	123549	https://www.ksta.de/rund-2700-betruegerische-anrufe-aus-dem-ausland-31970098	https://www.ksta.de/image/31970096/2x1/300/150/e286728f061b13772f7d2ba8014a8871/Zw/urn-newsml-dpa-com-20090101-190201-99-807783-large-4-3.jpg	124187	1f1f0f0707060527	Rund 2700 betrü­ge­ri­sche Anrufe aus dem Ausland	Angeb­lich ist die Polizei am Telefon oder ein hilfs­be­dürf­tiger Enkel und immer sollen die Ange­ru­fenen Geld zahlen: Betrugs­ver­suche dieser Art kommen nach Erkennt­nissen der Hamburger Polizei in der Regel von krimi­nellen Call­cen­tern im Ausland. 	0	5	0	0.0
513009095	123550	https://www.ksta.de/kultur/kommentar-zum-verkorksten-tattoo-ariana-grande-und-ihr-kleiner-holzkohlegrill-31969890	https://www.ksta.de/image/31970114/2x1/300/150/149070005dee110b91ef8bbd329a1e1d/SD/ariana-grande.jpg	124188	e0e8f8d8c8e8d8dc	Ariana Grande und ihr kleiner Holz­koh­le­grill	Kleiner Holz­koh­le­grill, das könnte doch glatt als beson­ders knuf­figer Kosename durch­gehen. Eben diese Worte hatte sich die Sängerin Ariana Grande in japa­ni­schen Schrift­zei­chen auf ihre Hand­fläche täto­wieren lassen. Worauf sie aller­dings erst 	1369	53867	281	0.005216551877773034
513019615	123551	https://www.ksta.de/politik/usa-wollen-aus-historischem-abruestungsvertrag-aussteigen-31970120	https://www.ksta.de/image/31970118/2x1/300/150/3b2215930eaa9d04d1877a330bb8dea6/Qw/urn-newsml-dpa-com-20090101-190201-99-807968-large-4-3.jpg	124189	ece839edc8a969e0	USA wollen aus histo­ri­schem Abrüs­tungs­ver­trag aussteigen	Die USA wollen nach Infor­ma­tionen der Deut­schen Pres­se-A­gentur bereits heute ihren Auss­tieg aus dem INF-Ver­trag zum Verzicht auf land­ge­stützte atomare Mittel­stre­cken­waffen ankün­digen.Die Verei­nigten Staaten infor­mierten demnach am Donnersta	5	34	0	0.0
513019880	123552	https://www.ksta.de/region/oberberg-ks/bilanz-in-oberberg--9--in-marienheide-gibt-es-einen-neuanfang-nach-dem-protest-31968642	https://www.ksta.de/image/31968638/2x1/300/150/d8c3cf5e610f9ace4d19686232cc70c/VI/71-143345748--null--31-01-2019-17-59-16-087-.jpg	124190	7f2703c1c06113bf	In Mari­en­heide gibt es einen Neuan­fang nach dem Protest	Der Jahres­be­ginn gibt Gele­gen­heit, Bilanz zu ziehen in Städten und Gemeinden, aber auch voraus­zu­schauen auf das Wich­tige, das  ansteht.  In  Folge neun geht es um Mari­en­heide.Das Jahr endete mit einem Höhe­punkt für die Gemeinde Mari­en­heide: Na	253	130	2	0.015384615384615385
513019892	123553	https://www.ksta.de/politik/grundsteuer-durchbruch--spitzentreffen-bei-scholz-31970156	https://www.ksta.de/image/31970154/2x1/300/150/2a08c50d607f3b1bb3b3daba8473a353/RS/urn-newsml-dpa-com-20090101-190201-99-808025-large-4-3.jpg	124191	df5f1f0e07370101	Grund­steu­er-Durch­bruch? Spit­zen­treffen bei Scholz	Es ist eine der kompli­zier­testen Steuern Deutsch­lands - auch deshalb scheuten viele Finanz­mi­nister vor einer Reform zurück. Bis dann das Bundes­ver­fas­sungs­ge­richt auf den Plan trat und völlig veral­tete Bemes­sungs­grund­lagen kriti­sierte.Der We	22	68	0	0.0
513020156	123554	https://www.ksta.de/politik/rnd/wut-in-spd-neue-abteilungsleiter-in-bundestagsverwaltung-sind-wieder-nur-westdeutsche-31970142	https://www.ksta.de/image/26207380/2x1/300/150/a8e8c7a620ff8c178cd9d18d6c0d546c/hi/wolfgang-schaeuble.jpg	124192	7c7e7f7f6fc78303	Neue Abtei­lungs­leiter in Bundes­tags­ver­wal­tung sind wieder nur West­deut­sche	Es ist erst ein drei­viertel Jahr her, dass der Mangel an Ostdeut­schen auf führenden Posi­tionen der Bundes­tags­ver­wal­tung ruchbar wurde. Im Mai 2018 nämlich teilte ein Spre­cher derselben mit, es gebe „der­zeit keine ostdeut­sche Abtei­lungs­lei­teri	1494	98637	456	0.004623011648772773
513020274	123555	https://www.ksta.de/intelligente-strassenlaternen-sollen-verkehr-mitsteuern-31969836	https://www.ksta.de/image/31969834/2x1/300/150/ed0174b76d65d13a4f6c7186392acdf8/zv/urn-newsml-dpa-com-20090101-190131-99-804059-large-4-3.jpg	124193	062727233b7fff7b	Intel­li­gente Stra­ßen­la­ternen sollen Verkehr mitsteuern	In Darm­stadt sollen künftig Stra­ßen­la­ternen dabei helfen, den Verkehrs­fluss zu messen und mitzu­steuern. Die ersten drei der spezi­ellen Leuchten stellt die Stadt heute vor. Das Vorhaben ist Teil des Projektes Digi­tal­stadt Darm­stadt.Die Stra­ßen­l	2	67	0	0.0
513020748	123556	https://www.ksta.de/politik/venezuelas-gegenpraesident-guaid%C3%B3-will-nicht-mehr-verhandeln-31970172	https://www.ksta.de/image/31970170/2x1/300/150/9614b4d119388fd47e2c471f44293a93/nZ/urn-newsml-dpa-com-20090101-190201-99-808068-large-4-3.jpg	124194	0006646e6f6f4fc7	Vene­zuelas Gegen­prä­si­dent Guaidó will nicht mehr verhan­deln	In dem andau­ernden Macht­kampf zwischen der Regie­rung des sozia­lis­ti­schen Staats­chefs Nicolás Maduro und seinem Heraus­for­derer Juan Guaidó in Vene­zuela hat der Oppo­si­ti­ons­führer neuen Vermitt­lungs­ver­su­chen eine Absage erteilt.„Die Krise i	6	20	0	0.0
513021075	123557	https://www.ksta.de/politik/drogenfund-im-millionenwert-unter-gurken-gefunden-31970166	https://www.ksta.de/image/31970160/2x1/300/150/2fb8c7c516a9a5be3bc6ab14fe0b5d9c/OU/urn-newsml-dpa-com-20090101-190201-99-808039-large-4-3.jpg	124195	7f3f1f1f1f7e3e3e	Drogen­fund im Millio­nen­wert unter Gurken gefunden	Synthe­ti­sche Drogen in Millio­nen­wert haben Zoll­be­amte an der Grenze von Mexiko zum US-Staat Arizona aus dem Verkehr gezogen.In einem mit Gurken bela­denen Sattel­schlepper entdeckten die Beamten in Nogales nach US-Me­dien­be­richten vom Donnerstag e	11	11	0	0.0
513021110	123558	https://www.ksta.de/nrw/islamistische-syrien-rueckkehrer-verurteilt-31968588	https://www.ksta.de/image/31968586/2x1/300/150/6615087dcedfcd449ea9dab27d0c3892/nn/urn-newsml-dpa-com-20090101-190131-99-802946-large-4-3.jpg	124196	d7d78f8b9f9f8f8f	Isla­mis­ti­sche Syri­en-Rück­kehrer verur­teilt	Ein 27-jäh­riger Deutsch-Marok­kaner aus Bad Müns­te­reifel ist als IS-Ter­ro­rist zu fünf Jahren und drei Monaten Gefängnis verur­teilt worden. Das Urteil sei bereits rechts­kräftig, sagte ein Spre­cher des Düssel­dorfer Ober­lan­des­ge­richts am Donners	12	46	0	0.0
513021689	123559	https://www.ksta.de/region/rhein-sieg-bonn/lohmar/birker-wahrzeichen-abgebaut-das-friedenskreuz-ist-marode---kommt-ein-neubau--31967502	https://www.ksta.de/image/31967536/2x1/300/150/eeed39bc9ce2de1001ae697888bcc549/xh/das-friedenskreuz-in-birk-ist-marode.jpg	124197	fedf7f1ffc0c0c04	Das Frie­dens­kreuz ist marode – kommt ein Neubau?	Das ist schon ein Einschnitt ins Orts­bild und in den Alltag. Vor allem für Altein­ge­ses­sene, die von Kindes­beinen an in Birk an dieser Ecke vorbei­kommen. Aber auch die vielen Zuge­zo­genen haben sich an den Anblick gewöhnt. Nun müssen sich manche ers	727	17	0	0.0
513021751	123560	https://www.ksta.de/ratgeber/finanzen/karriere/doch-kein--the-big-lebowski-2--dude-und--sex-and-the-city--star-machen-bierwerbung-31970262	https://www.ksta.de/image/31970284/2x1/300/150/42f4a3fbb735a30399da32c82a9ed4d7/LP/lebowski-1.jpg	124198	109cccdeda98d1d0	Dude und „Sex and the City“-Star machen Bier­wer­bung	Doch kein „The Big Lebowski 2“, sondern nur ein Werbe­spot: vorige Woche hatte Oscar-Preis­träger Jeff Bridges (69) Speku­la­tionen über eine mögliche Fort­set­zung des Kult­films ange­heizt.In einem kurzen Teaser zeigte sich der Schau­spieler in seiner i	349	7	0	0.0
513021808	123561	https://www.ksta.de/region/rhein-berg-oberberg/bergisch-gladbach/ein-jahr-lang-begleitet-so-bereitet-sich-das-bergisch-gladbacher-dreigestirn-vor-31967234	https://www.ksta.de/image/31967210/2x1/300/150/337ad17e50e6a8f63e947f54721a68a6/Rn/07-dreigestirn-fotoshooting-5481.jpg	124199	7f3f0f24241f0fc0	So bereitet sich das Bergisch Glad­ba­cher Drei­ge­stirn vor	Bei T-Shir­t-Wetter im dicken Ornat zum Foto­termin auf ein Haus­dach steigen; Lied­texte üben, wenn andere in Sommer­ur­laub fahren, und eine Bene­fiz­ver­lo­sung juris­tisch wasser­dicht planen, wenn die Freunde feiern gehen. Bevor ein Drei­ge­stirn – w	2280	26	0	0.0
513021907	123563	https://www.ksta.de/sport/fussball/borussia-dortmund-verleiht-toljan-an-celtic-glasgow-31970214	https://www.ksta.de/image/31970212/2x1/300/150/250810633c325af6c603474a38415177/iP/urn-newsml-dpa-com-20090101-190201-99-808247-large-4-3.jpg	124201	00009cbc5838383f	Borussia Dort­mund verleiht Toljan an Celtic Glasgow	Nach Shinji Kagawa und Dzenis Burnic hat Fußball-Bun­des­li­gist Borussia Dort­mund auch Jeremy Toljan noch kurz vor Ende der Trans­fer­pe­riode ausge­liehen.Der 24 Jahre alte Abwehr­spieler geht für ein halbes Jahr bis zum 30. Juni 2019 zum schot­ti­sche	12	4	0	0.0
513021911	123564	https://www.ksta.de/region/euskirchen-eifel/euskirchen/kita-oder-wohngebaeude--euskirchen-will-frueheren-schulkomplex-am-keltenring-verkaufen-31967994	https://www.ksta.de/image/31967992/2x1/300/150/2bfc32e7035661bf30ce38d8ec7279c1/Ov/schule-am-keltenring-310119.jpg	124202	fede849e18020000	Euskir­chen will früheren Schul­kom­plex am Kelten­ring verkaufen	Die Stadt Euskir­chen will sich von dem früheren Schul­kom­plex am Kelten­ring trennen, in dem seit gut drei Jahren Flücht­linge leben. Bürger­meister Dr. Uwe Friedl (CDU) sagte in der jüngsten Sitzung des Haupt- und Finanzaus­schusses, dass die Verwal­tu	796	21	0	0.0
513021945	123565	https://www.ksta.de/region/rhein-erft/pulheim/arbeiten-bis-dezember-umbau-der-pulheimer-rathauskreuzung-geht-anfang-februar-los-31968094	https://www.ksta.de/image/31968092/2x1/300/150/f2ac356d35e22ab1d319dc031a11f578/is/pulheimer-rathauskreuzung-210119.jpg	124203	f0c4c4f8d0d0f0f4	Umbau der Pulheimer Rathaus­kreu­zung geht Anfang Februar los	Bevor die Bagger anrücken, haben die Motor­sägen ihren Auftritt. Der aufwen­dige Umbau der Rathaus­kreu­zung in Pulheim soll in der nächsten Woche damit beginnen, dass ein Grün­streifen gerodet wird. Marco Haß vom Inge­nieur­büro Isaplan stellte im Aussch	2408	12	0	0.0
513022328	123566	https://www.ksta.de/region/dieselstreit-in-nrw-landesregierung-sieht-fahrverbote-in-weiter-ferne-31968912	https://www.ksta.de/image/31969040/2x1/300/150/f7fc9a51cc7afc9d3a4185c5d8315049/DV/109743685.jpg	124204	3c3c36666e7e3f3f	Warum Fahr­ver­bote in diesem Jahr wenig wahr­schein­lich sind	Die Landes­re­gie­rung sieht gute Chancen, Diesel­fahr­ver­bote in NRW zu verhin­dern. „Ich gehe davon aus, dass wir alle Gerichts­ver­fahren, die 2019 anstehen, für uns entscheiden werden“, sagte NRW-Um­welt­mi­nis­terin Ursula Heinen-Esser (CDU) am Donn	2715	28	0	0.0
513022339	123567	https://www.ksta.de/100-jahre-altes-haus-in-beldorf-niedergebrannt-31965634	https://www.ksta.de/image/31965632/2x1/300/150/e33e02e14ebff2bc9d350f3df9947b5e/oq/urn-newsml-dpa-com-20090101-190131-99-795806-large-4-3.jpg	124205	70781c0e253f3b19	100 Jahre altes Haus in Beldorf nieder­ge­brannt	Mindes­tens 100 000 Euro Schaden hat ein Feuer am Donnerstag an einem Einfa­mi­li­en­haus in Beldorf (Kreis Rends­bur­g-E­ckern­förde) ange­richtet. Einsatz­kräfte konnten das etwa 100 Jahre alte Gebäude nicht mehr retten, wie die Polizei mitteilte. Das G	0	9	0	0.0
513022842	123569	https://www.ksta.de/politik/rnd/peinliche-pannenserie-bundeswehr-will-offenbar-neue-regierungsflugzeuge-bestellen-31970312	https://www.ksta.de/image/31970326/2x1/300/150/33b0d777081ff4e37d580c06d9b69031/RV/regierungsflieger.jpg	124207	fffef0deb080c000	Bundes­wehr will offenbar neue Regie­rungs­flug­zeuge bestellen	Vertei­di­gungs­mi­nis­terin Ursula von der Leyen plant einem Medien­be­richt zufolge den Kauf neuer Regie­rungs­ma­schinen. Nach einem erneuten Zwischen­fall mit dem 20 Jahre alten Flie­gers „Theodor Heuss“ will die CDU-Po­li­ti­kerin offenbar bereits En	1206	12	0	0.0
513023453	123570	https://www.ksta.de/koeln/schulstreik-koelner-schueler-demonstrieren-auf-dem-alter-markt-fuer-das-klima-31968704	https://www.ksta.de/image/31968698/2x1/300/150/d127068d96cca7621bcc7623b2c29637/lR/71-143401936--null--31-01-2019-18-11-58-617-.jpg	124208	f7f6ffa90d1d0c0c	Kölner Schüler demons­trieren auf dem Alter Markt für das Klima	Der Freitag ist für zahl­reiche Schüler in Deutsch­land derzeit ein Tag ohne Unter­richt. Auch in Köln (am Frei­tag­morgen ab 9 Uhr auf dem Alter Markt). Die Jugend­li­chen gehen regel­mäßig auf die Straße statt in den Klas­sen­raum. Sie demons­trieren, u	2443	92	0	0.0
513023532	123571	https://www.ksta.de/wirtschaft/deutscher-bank-gelingt-erster-jahresgewinn-seit-2014-31970344	https://www.ksta.de/image/31970342/2x1/300/150/9fd11210fc052f8604c5bed78656cbea/Lr/urn-newsml-dpa-com-20090101-190201-99-808593-large-4-3.jpg	124209	f0fefcaf2f230700	Deut­scher Bank gelingt erster Jahres­ge­winn seit 2014	Die Deut­sche Bank hat 2018 nach drei Verlust­jahren in Folge wie erhofft wieder schwarze Zahlen geschrieben. Der Konzern­ge­winn lag bei 341 Millionen Euro nach einem Verlust von 735 Millionen ein Jahr zuvor, wie der Dax-Kon­zern mitteilte.Im vierten Qua	28	54	0	0.0
513024655	123572	https://www.ksta.de/nrw/aachener-domkapitel-zeigt-alltagskleid-fuer-marienskulptur-31970056	https://www.ksta.de/image/31970054/2x1/300/150/6258a74343a72f86efce0adec65fab4c/RN/urn-newsml-dpa-com-20090101-190201-99-807600-large-4-3.jpg	124210	0060603c3cf8f89c	Aachener Domka­pitel zeigt Alltags­kleid für Mari­ens­kulptur	Das Domka­pitel Aachen stellt am Freitag (13.00 Uhr) Klei­der-Ent­würfe für eine bekannte Mari­en-Statue im Aachener Dom vor. Kunst­schaf­fende waren aufge­rufen, ein modernes Alltags-Kleid für das Gnaden­bild zu entwerfen. Es sollte sich deut­lich unter­	17	3	0	0.0
